"project","c_label","id","ce","tair_ann","soil_moist_ann","tsurf_ann","lai_ann","rain_mm_ann","elevation_m","lon","lat","pc1","pc2","pc3","output","pred_fm","comp"
"2021JuneHawaii","C-6392","2021JuneHawaiiC-6392",0,21.467472076416,0.629635870456696,19.267333984375,2.795325756073,2745.54809570312,213.657499999964,-157.8226818,21.3465859000022,-2.13762175153582,-0.238209104556956,-0.18503576166277,0.00828194346038977,0,0
"2021JuneHawaii","C-6393","2021JuneHawaiiC-6393",0,21.467472076416,0.629635870456696,19.267333984375,2.795325756073,2745.54809570312,213.657499999964,-157.8225185,21.3467628,-2.13763360326686,-0.238250122923214,-0.185069915833961,0.00827895291193288,0,0
"2021JuneHawaii","C-6394","2021JuneHawaiiC-6394",0,20.8112888336182,0.641119599342346,18.6264991760254,2.91944694519043,2921.55249023438,328.574999998941,-157.8215398,21.3425770999989,-1.90538554896108,-0.109571366547154,-0.549362612065103,0.0108508200765003,0,0
"2021JuneHawaii","C-6397","2021JuneHawaiiC-6397",0,20.1715106964111,0.621771037578583,17.9198341369629,3.42488288879395,2635.47119140625,415.182499999666,-157.886536200003,21.4039191000012,-1.57188110991615,-0.362486125022074,-0.503823363584099,0.0155474685064811,0,0
"2021JuneHawaii","C-6398","2021JuneHawaiiC-6398",0,20.2255935668945,0.627592206001282,17.9903335571289,3.69683909416199,2719.95556640625,426.474999999901,-157.8846655,21.404698,-1.69751064581392,-0.337418708186508,-0.605561239130246,0.0196851304225401,0,0
"2021JuneHawaii","C-6399","2021JuneHawaiiC-6399",0,21.2413539886475,0.633675992488861,19.0410003662109,3.72496724128723,2805.77465820312,254.187499999928,-157.822797900002,21.3438968999976,-2.29434595180323,-0.278225788320266,-0.383356585688012,0.0150682373986528,0,0
"2021JuneHawaii","C-6408","2021JuneHawaiiC-6408",0,20.2397422790527,0.614122986793518,17.9539165496826,2.49465799331665,2518.52465820312,432.757499999932,-157.8225578,21.3290926999976,-1.25181437238046,-0.277761666276075,-0.275555883259225,0.0116068929249218,0,0
"2021JuneHawaii","C-6411","2021JuneHawaiiC-6411",0,20.0028858184814,0.64168643951416,17.8128337860107,2.56571340560913,2930.18310546875,430.807499998927,-157.8222632,21.3419526000021,-1.41857886659504,-0.0342961534546922,-0.734386282096142,0.00938461221191377,0,0
"2021JuneHawaii","C-6412","2021JuneHawaiiC-6412",0,20.3222770690918,0.615752756595612,18.0544166564941,3.03067946434021,2550.935546875,410.729999999692,-157.888437900002,21.4035868,-1.4759674701617,-0.383162175981935,-0.355649148746854,0.0136113135122379,0,0
"2021JuneHawaii","C-6414","2021JuneHawaiiC-6414",0,20.6985511779785,0.59024178981781,18.3655834197998,3.25787377357483,2222.78173828125,374.625000000327,-157.896222900233,21.4012162,-1.51800027415123,-0.633502592830505,0.059293004121237,0.0168819925750917,0,0
"2021JuneHawaii","C-6415","2021JuneHawaiiC-6415",0,21.207555770874,0.570870161056519,18.8339996337891,3.63921475410461,2004.41748046875,331.787500000059,-157.899503300002,21.398903,-1.7111290989663,-0.839618889230351,0.390004826882026,0.0233115316555373,0,0
"2021JuneHawaii","C-6441","2021JuneHawaiiC-6441",0,20.4166145324707,0.624102711677551,18.152250289917,3.11464309692383,2659.3916015625,405.535000001216,-157.821405899998,21.3292442999979,-1.58786072583973,-0.257788008897225,-0.421202244116624,0.0154355757581267,0,0
"2021JuneHawaii","C-6442","2021JuneHawaiiC-6442",0,20.4166145324707,0.624102711677551,18.152250289917,3.11464309692383,2659.3916015625,405.535000001216,-157.82103,21.3290844,-1.58783565081747,-0.257557670331949,-0.421089187329096,0.0154352909543604,0,0
"2021JuneHawaii","C-6445","2021JuneHawaiiC-6445",0,20.562162399292,0.608095407485962,18.2584171295166,3.93440628051758,2436.34130859375,387.797500000032,-157.823683,21.3266419000027,-1.75470136420036,-0.481365894282377,-0.223994416915349,0.0251553778563676,0,0
"2021JuneHawaii","C-6447","2021JuneHawaiiC-6447",0,21.1167087554932,0.535860478878021,18.6246662139893,3.99935340881348,1664.03869628906,373.087499999671,-157.762540600003,21.3015929000084,-1.4835564396124,-1.0090721900315,0.779484310258606,0.0355040273042761,0,0
"2021JuneHawaii","C-6449","2021JuneHawaiiC-6449",0,23.1010856628418,0.554246068000793,17.1365833282471,3.02720093727112,1736.60241699219,48.5574999997916,-157.7646376,21.358880099998,-1.77279910178004,-0.911464632232644,0.91664929960335,0.00780207845809723,0,0
"2021JuneHawaii","C-6453","2021JuneHawaiiC-6453",0,22.9667434692383,0.557622015476227,19.0607490539551,3.97776937484741,1803.97277832031,71.2500000001535,-157.764711399711,21.3561712,-2.33578935181219,-0.982360304412395,0.926241665959136,0.017202661243941,0,0
"2021JuneHawaii","C-6455","2021JuneHawaiiC-6455",0,22.9667434692383,0.557622015476227,19.0607490539551,3.97776937484741,1803.97277832031,71.2500000001535,-157.764915300002,21.3559442999991,-2.33577399782204,-0.982305641386755,0.92628634584482,0.0172104977958472,0,0
"2021JuneHawaii","C-6456","2021JuneHawaiiC-6456",0,22.9667434692383,0.557622015476227,19.0607490539551,3.97776937484741,1803.97277832031,71.2500000001535,-157.765180899998,21.3557432999974,-2.33576272768954,-0.982288587808837,0.926312585611023,0.0172183983632463,0,0
"2021JuneHawaii","C-6457","2021JuneHawaiiC-6457",0,22.9667434692383,0.557622015476227,19.0607490539551,3.97776937484741,1803.97277832031,71.2500000001535,-157.765345699999,21.355772099999,-2.33576990780383,-0.982365919306786,0.926276979710349,0.0172195474697587,0,0
